Row Labels,Sleep,Household Activites,Work and Work Related,Eating and Drinking,Socializing Relaxing and Leisure,Telephone Calls, Travelling,Education,Exercise Sports and Recreation,Other
46,515.6289871,159.9983212,175.2137661,61.48293229,240.1113598,7.950195859,77.3844432,6.095691102,14.18970341,181.9445999
47,520.0054083,153.1087074,175.1622499,61.31800973,247.1216874,7.6003245,77.35640887,8.818280151,14.69172526,174.8171985
48,514.5669746,153.9566975,181.3400693,63.08775982,249.3937644,7.47517321,75.44110855,5.463048499,14.55715935,174.7182448
49,510.1183908,152.2821839,186.5143678,62.28505747,248.4522989,8.918390805,76.92471264,5.502298851,14.05402299,174.9482758
50,516.244325,153.8345281,181.9181601,63.74133811,258.0764636,9.480286738,72.91995221,4.997610514,14.05854241,164.7287932
51,512.7790055,150.9693063,193.1835482,62.15531001,257.111725,9.003069368,74.43585021,4.362799263,12.34622468,163.6531615
52,509.378213,154.6964504,185.6768666,61.45471236,266.371481,8.307833537,72.39290086,4.783353733,11.87821297,165.0599755
53,512.9278607,150.0310945,178.4676617,63.95833333,265.5136816,10.90671642,72.98258706,6.371890547,12.97512438,165.8650498
54,511.5366009,150.9993635,173.8535964,62.68109484,266.3539147,10.33863781,74.16804583,3.487587524,15.12412476,171.4570337
55,507.5406607,145.6658196,182.8360864,64.60292249,278.1416773,10.97649301,73.04637865,4.066709022,12.2750953,160.8481575
56,511.0916079,153.5112108,168.9231262,66.33504164,284.0038437,9.208199872,68.03395259,4.058295964,10.1024984,164.7322229
57,509.4956288,151.5359785,167.2488231,65.42299933,286.1412239,10.15669132,72.90248823,3.106926698,11.28917283,162.7000673
58,515.7292225,161.7117962,149.3793566,64.66689008,293.9959786,10.19839142,67.3002681,3.30227882,9.868632708,163.847185
59,517.8666667,150.4329897,147.4824742,65.72371134,301.0742268,9.766323024,67.85292096,3.397250859,10.7580756,165.6453608
60,513.5793594,150.255516,141.0099644,67.99715302,302.6761566,11.74661922,68.89822064,2.115302491,11.12099644,170.6007118
61,517.9087591,154.9182482,121.580292,67.4350365,318.6985401,10.59343066,65.54525547,2.752554745,10.51240876,170.0554745
62,517.873956,157.2854973,118.1381929,68.83599089,316.5687168,11.25664389,65.44191344,0.94229309,10.52239939,173.1343963
63,514.5399386,156.0222734,94.9546851,69.81029186,334.3817204,11.54301075,68.28341014,1.591397849,11.74654378,177.1267281
64,507.1959565,166.7682737,88.47744946,68.62674961,347.7970451,13.68273717,62.44790047,1.65007776,11.55287714,171.8009331
65,525.3639818,163.8898176,67.96884498,68.41489362,350.5015198,14.45820669,62.56155015,2.436170213,10.91945289,173.4855623
66,525.9094719,156.217938,70.76781224,72.04526404,350.9111484,12.44341995,59.89186924,2.136630344,11.3906119,178.285834
67,526.0466786,168.8500898,51.18761221,73.83752244,366.2836625,11.99281867,59.86086176,1.095152603,11.8464991,168.9991023
68,523.6795435,164.5373134,56.01404741,70.61281826,367.4688323,12.22563652,59.51536435,2.300263389,10.87093942,172.7752415
69,517.0869131,168.4745255,38.68031968,71.08191808,383.032967,12.71428571,58.01398601,1.501498501,11.17482517,178.2387612
70,526.5718816,173.3128964,36.03911205,73.64376321,379.346723,14.86469345,54.13424947,1.596194503,10.1627907,170.3276956
71,533.9145946,165.2713514,29.81513514,75.70054054,386.3145946,13.21513514,53.81945946,0.761081081,10.12216216,171.0659459
72,523.5463812,159.7920489,31.91029562,73.79204893,402.6014271,12.84607543,53.99388379,0.632008155,11.0540265,169.8318044
73,528.787037,175.5821759,25.37268519,74.46527778,395.8958333,13.22222222,51.34375,1.613425926,11.04282407,162.6747686
74,533.5826859,165.6226415,18.14872364,76.72142064,397.991121,12.96559378,52.64705882,1.115427303,10.42841287,170.7769145
75,534.589525,163.0609013,16.49208283,73.4043849,421.4652862,13.44579781,47.36784409,1.135200974,10.6638246,158.3751523
76,524.5446541,169.7069182,11.4327044,71.26666667,409.0314465,16.39748428,48.86666667,0.496855346,10.02264151,178.2339623
77,526.0892642,165.1145959,10.81664656,75.24004825,418.2243667,14.89746683,49.32810615,1.556091677,9.887816647,168.8455971
78,537.5823606,165.4474708,11.93644617,75.49156939,414.7263294,13.94941634,46.58236057,1.498054475,7.651102464,165.1348898
79,536.1765517,164.9655172,8.776551724,74.30896552,413.2496552,13.30344828,47,0.751724138,8.212413793,173.2551724
80,544.5348372,154.8846374,6.408623644,77.87949743,439.7007424,14.49628784,38.78983438,0.936036551,7.397201599,154.9723016
85,560.5803224,136.6303502,2.737632018,83.74485825,451.1050584,13.84269038,29.78877154,1.113396331,7.288493608,153.1684269
