Age,Sleeping,Household Activities,Work and Work Related,Education,Eating and Drinking,Socializing Relaxing and Liesure,Sports Exercise and Recreation,Telephone Calls,Travel
55,506.6392184,129.8457781,205.042568,2.662595953,67.92812282,288.3237962,16.1559665,7.579902303,75.18597348
56,511.1525305,132.7609075,191.3022688,3.417102967,67.33577661,301.0237347,15.0886562,6.430715532,71.45933682
57,508.3724991,129.4361586,190.166606,2.342670062,67.46526009,303.7675518,15.95198254,7.207711895,72.43324845
58,510.9037394,135.7797112,179.8611625,2.940392447,66.41466124,308.3117364,15.93965198,7.103665309,69.91891892
59,511.9719662,133.7880184,167.8821045,2.746543779,68.54608295,320.4715822,15.37596006,6.851382488,69.15821813
60,509.4692094,132.1481923,167.011919,1.931267382,70.72745332,314.5923719,17.54986095,8.866905046,71.56654748
61,517.898998,131.987976,144.3875752,2.309819639,68.8252505,337.2845691,14.73627255,7.69739479,67.42885772
62,514.1298366,137.6560619,136.8486672,1.510748065,72.38048151,337.3503869,15.50988822,8.104901118,67.98366294
63,513.928634,140.7504378,107.7057793,1.355078809,72.91155867,353.6891419,15.91725044,8.519702277,69.8704028
64,511.8137652,144.9644624,103.4727845,1.667566352,73.82321188,364.5033738,16.07512371,9.149347728,64.93702204
65,519.9032538,144.4507592,78.32190889,1.830368764,71.49544469,380.5375271,17.56182213,9.704121475,63.6021692
66,524.0455613,142.0812588,75.48003758,1.495537811,74.40629403,379.347581,16.8966651,8.652418976,61.17989667
67,527.7285788,146.1816316,66.0282196,1.286300667,76.65623397,384.4699846,17.87480759,8.914828117,63.40841457
68,521.4508154,150.4471331,62.41136244,1.734350342,74.78695423,390.0047344,18.41136244,8.631246712,61.8122041
69,521.0549199,144.270595,51.16819222,1.351830664,76.00743707,403.6201373,16.6721968,9.516590389,59.07723112
70,526.7610024,147.5806846,45.2707824,1.635085575,76.61552567,403.6253056,16.12836186,10.33801956,57.54156479
71,533.2104235,148.9680782,40.10423453,0.6247557,78.28338762,403.7667752,15.67947883,9.396091205,57.57068404
72,522.9677835,145.1713918,42.77448454,0.534793814,77.35824742,415.4046392,14.19007732,9.566365979,56.89884021
73,532.7881297,150.8875086,35.68046929,1.202898551,76.70807453,412.4755003,14.56383713,9.267770876,52.63768116
74,535.0581717,146.9120499,26.32686981,0.853878116,79.49445983,417.3317175,14.48891967,9.688365651,55.48753463
75,530.9445693,146.3453184,24.22921348,1.113857678,78.27490637,434.5131086,14.89812734,10.19775281,50.42247191
76,530.0936037,149.200468,19.19812793,0.959438378,74.93135725,430.3627145,14.61154446,11.59828393,52.32449298
77,530.0794118,144.7911765,18.48382353,1.216911765,79.91764706,439.1433824,13.78970588,10.08970588,52.05955882
78,538.8341544,140.9055829,17.24794745,1.945812808,78.18144499,438.4376026,11.77011494,10.41050903,50.5270936
79,536.2394881,151.308958,14.00822669,0.671846435,78.95521024,431.1681901,11.5904936,10.55850091,49.60694698
80,546.5893435,138.5803996,10.50333016,0.769552807,79.98039962,453.1360609,10.55984776,11.29000951,42.32159848
85,562.0567349,123.80934,6.040524894,0.865688923,85.53724431,465.4253184,8.558085681,11.07255886,33.57468159
