Row Labels,Sleep,Household Activites,Work and Work Related,Eating and Drinking,Socializing Relaxing and Leisure,Telephone Calls, Travelling,Education,Other
38,515.0884817,150.5371728,174.8293194,63.02827225,214.734555,6.097905759,78.5434555,6.590575916,230.5502618
39,515.0040568,151.3336714,174.9041582,65.15060852,216.6643002,6.081643002,78.42444219,7.623225152,224.8138945
40,517.9137931,155.6739812,169.5350052,64.73876698,216.4545455,6.243991641,79.52821317,6.724137931,223.1875653
41,516.9189189,156.8505864,168.400306,65.78837328,216.0397756,6.132585416,80.3554309,8.768995411,220.745028
42,518.6885504,160.0793067,167.2363445,63.90966387,218.5367647,6.047794118,79.72216387,6.375,219.4044118
43,518.4404576,147.8330733,181.0379615,62.88039522,232.8013521,6.110764431,79.75923037,8.244929797,202.8918357
44,514.2031975,158.9762764,176.4455905,62.52759154,226.6075297,7.821041774,78.56884992,9.283135637,205.566787
45,515.7361894,158.3641488,171.1533258,65.97970688,231.3765502,8.008455468,76.95208568,8.065952649,204.3635851
46,515.6289871,159.9983212,175.2137661,61.48293229,240.1113598,7.950195859,77.3844432,6.095691102,196.1343033
47,520.0054083,153.1087074,175.1622499,61.31800973,247.1216874,7.6003245,77.35640887,8.818280151,189.5089237
48,514.5669746,153.9566975,181.3400693,63.08775982,249.3937644,7.47517321,75.44110855,5.463048499,189.2754042
49,510.1183908,152.2821839,186.5143678,62.28505747,248.4522989,8.918390805,76.92471264,5.502298851,189.0022989
50,516.244325,153.8345281,181.9181601,63.74133811,258.0764636,9.480286738,72.91995221,4.997610514,178.7873357
51,512.7790055,150.9693063,193.1835482,62.15531001,257.111725,9.003069368,74.43585021,4.362799263,175.9993861
52,509.378213,154.6964504,185.6768666,61.45471236,266.371481,8.307833537,72.39290086,4.783353733,176.9381885
53,512.9278607,150.0310945,178.4676617,63.95833333,265.5136816,10.90671642,72.98258706,6.371890547,178.8401741
54,511.5366009,150.9993635,173.8535964,62.68109484,266.3539147,10.33863781,74.16804583,3.487587524,186.5811585
55,507.5406607,145.6658196,182.8360864,64.60292249,278.1416773,10.97649301,73.04637865,4.066709022,173.1232529
56,511.0916079,153.5112108,168.9231262,66.33504164,284.0038437,9.208199872,68.03395259,4.058295964,174.8347213
57,509.4956288,151.5359785,167.2488231,65.42299933,286.1412239,10.15669132,72.90248823,3.106926698,173.9892401
58,515.7292225,161.7117962,149.3793566,64.66689008,293.9959786,10.19839142,67.3002681,3.30227882,173.7158177
59,517.8666667,150.4329897,147.4824742,65.72371134,301.0742268,9.766323024,67.85292096,3.397250859,176.4034364
60,513.5793594,150.255516,141.0099644,67.99715302,302.6761566,11.74661922,68.89822064,2.115302491,181.7217082
61,517.9087591,154.9182482,121.580292,67.4350365,318.6985401,10.59343066,65.54525547,2.752554745,180.5678832
62,517.873956,157.2854973,118.1381929,68.83599089,316.5687168,11.25664389,65.44191344,0.94229309,183.6567957
63,514.5399386,156.0222734,94.9546851,69.81029186,334.3817204,11.54301075,68.28341014,1.591397849,188.8732719
64,507.1959565,166.7682737,88.47744946,68.62674961,347.7970451,13.68273717,62.44790047,1.65007776,183.3538103
65,525.3639818,163.8898176,67.96884498,68.41489362,350.5015198,14.45820669,62.56155015,2.436170213,184.4050152
66,525.9094719,156.217938,70.76781224,72.04526404,350.9111484,12.44341995,59.89186924,2.136630344,189.6764459
67,526.0466786,168.8500898,51.18761221,73.83752244,366.2836625,11.99281867,59.86086176,1.095152603,180.8456014
68,523.6795435,164.5373134,56.01404741,70.61281826,367.4688323,12.22563652,59.51536435,2.300263389,183.6461809
69,517.0869131,168.4745255,38.68031968,71.08191808,383.032967,12.71428571,58.01398601,1.501498501,189.4135864
70,526.5718816,173.3128964,36.03911205,73.64376321,379.346723,14.86469345,54.13424947,1.596194503,180.4904863
71,533.9145946,165.2713514,29.81513514,75.70054054,386.3145946,13.21513514,53.81945946,0.761081081,181.1881081
72,523.5463812,159.7920489,31.91029562,73.79204893,402.6014271,12.84607543,53.99388379,0.632008155,180.8858308
73,528.787037,175.5821759,25.37268519,74.46527778,395.8958333,13.22222222,51.34375,1.613425926,173.7175926
74,533.5826859,165.6226415,18.14872364,76.72142064,397.991121,12.96559378,52.64705882,1.115427303,181.2053274
75,534.589525,163.0609013,16.49208283,73.4043849,421.4652862,13.44579781,47.36784409,1.135200974,169.0389769
76,524.5446541,169.7069182,11.4327044,71.26666667,409.0314465,16.39748428,48.86666667,0.496855346,188.2566038
77,526.0892642,165.1145959,10.81664656,75.24004825,418.2243667,14.89746683,49.32810615,1.556091677,178.7334138
78,537.5823606,165.4474708,11.93644617,75.49156939,414.7263294,13.94941634,46.58236057,1.498054475,172.7859922
79,536.1765517,164.9655172,8.776551724,74.30896552,413.2496552,13.30344828,47,0.751724138,181.4675862
80,544.5348372,154.8846374,6.408623644,77.87949743,439.7007424,14.49628784,38.78983438,0.936036551,162.3695031
85,560.5803224,136.6303502,2.737632018,83.74485825,451.1050584,13.84269038,29.78877154,1.113396331,160.4569205
